layer,head,insertion_rate_masked,delta_insertion_rate,delta_repetition,delta_syntactic,delta_content,p_value_delta,regression_checked,non_indian_wer_masked,regression_ok
0,0,0.1007164790174002,-0.08802456499488229,-0.0436028659160696,-0.04360286591606961,-0.0008188331627430913,0.8508,True,0.0665,True
0,1,0.10112589559877175,-0.08843398157625383,-0.0436028659160696,-0.04380757420675538,-0.0010235414534288632,0.9326,True,0.0654,True
0,2,0.012691914022517911,0.0,0.0,0.00020470829068577282,-0.00020470829068577195,1.0,False,,
0,3,0.016786079836233366,-0.004094165813715455,-0.0038894575230296827,0.0006141248720573185,-0.0008188331627430913,0.9247,True,0.0727,False
0,4,0.01248720573183214,0.00020470829068577195,0.0,0.00040941658137154564,-0.00020470829068577195,0.3662,False,,
0,5,1.0143295803480041,-1.0016376663254862,-0.46960081883316274,-0.5154554759467759,-0.016581371545547594,1.0,True,0.7319,False
0,6,0.01330603889457523,-0.0006141248720573193,-0.0010235414534288639,0.0008188331627430913,-0.00040941658137154564,0.837,True,0.0672,True
0,7,0.012691914022517911,0.0,0.0,0.00040941658137154564,-0.00040941658137154564,1.0,False,,
0,8,0.01248720573183214,0.00020470829068577195,0.0,0.00040941658137154564,-0.00020470829068577195,0.4211,False,,
0,9,0.10030706243602866,-0.08761514841351074,-0.04278403275332651,-0.04421699078812692,-0.0006141248720573176,0.7585,True,0.0661,True
0,10,0.012691914022517911,0.0,0.0,0.00040941658137154564,-0.00040941658137154564,1.0,False,,
0,11,0.012691914022517911,0.0,0.0,0.00040941658137154564,-0.00040941658137154564,1.0,False,,
0,12,0.01248720573183214,0.00020470829068577195,0.0,0.0006141248720573185,-0.00040941658137154564,0.4406,False,,
0,13,0.10194472876151484,-0.08925281473899692,-0.0436028659160696,-0.044626407369498466,-0.0010235414534288632,0.9718,True,0.0691,True
0,14,0.012077789150460594,0.0006141248720573176,0.0,0.0008188331627430913,-0.00020470829068577195,0.2393,True,0.0677,True
0,15,0.012077789150460594,0.0006141248720573176,0.0,0.0006141248720573185,0.0,0.0506,True,0.0663,True
0,16,0.01330603889457523,-0.0006141248720573193,-0.00020470829068577277,0.0,-0.00040941658137154564,0.9258,True,0.0665,True
0,17,0.012691914022517911,0.0,0.0,0.00040941658137154564,-0.00040941658137154564,1.0,False,,
0,18,0.10133060388945753,-0.08863868986693961,-0.04380757420675537,-0.04360286591606961,-0.001228249744114637,1.0,True,0.0667,True
0,19,0.012691914022517911,0.0,0.0,0.00040941658137154564,-0.00040941658137154564,1.0,False,,
1,0,0.012691914022517911,0.0,0.0,0.00040941658137154564,-0.00040941658137154564,1.0,False,,
1,1,0.012691914022517911,0.0,0.0,0.00040941658137154564,-0.00040941658137154564,1.0,False,,
1,2,0.012691914022517911,0.0,0.0,0.00040941658137154564,-0.00040941658137154564,1.0,False,,
1,3,0.012691914022517911,0.0,0.0,0.00040941658137154564,-0.00040941658137154564,1.0,False,,
1,4,0.012691914022517911,0.0,0.0,0.00040941658137154564,-0.00040941658137154564,1.0,False,,
1,5,0.013101330603889457,-0.00040941658137154564,-0.00020470829068577277,0.00040941658137154564,-0.0006141248720573176,1.0,False,,
1,6,0.012691914022517911,0.0,0.0,0.00040941658137154564,-0.00040941658137154564,1.0,False,,
1,7,0.012691914022517911,0.0,0.0,0.00040941658137154564,-0.00040941658137154564,1.0,False,,
1,8,0.012691914022517911,0.0,0.0,0.00040941658137154564,-0.00040941658137154564,1.0,False,,
1,9,0.012691914022517911,0.0,0.0,0.00040941658137154564,-0.00040941658137154564,1.0,False,,
1,10,0.01248720573183214,0.00020470829068577195,0.0,0.0006141248720573185,-0.00040941658137154564,0.3737,False,,
1,11,0.013101330603889457,-0.00040941658137154564,-0.00020470829068577277,0.00040941658137154564,-0.0006141248720573176,1.0,False,,
