trial_number,eval_loss,rank,alpha_ratio,alpha,dropout,target_mlp,lr,weight_decay,lr_scheduler,warmup_ratio,grad_accum_steps,pruned_at_step
66,0.1450883507821709,8,1,8,0.05,True,0.00029102512368460806,0.00024961410555843244,cosine,0.1,1,100
16,0.14712211680831389,4,2,8,0.0,True,0.00028325831505321826,0.0022076004913185194,linear,0.1,2,100
13,0.14881783101707696,4,1,4,0.0,True,0.0008576491037046157,0.0006083019192425828,linear,0.03,2,100
18,0.14932522567454726,32,2,64,0.1,True,2.2202595144810514e-05,0.00043129510236174603,linear,0.0,1,100
68,0.14992914670845495,8,1,8,0.05,True,0.00030211860070435874,0.0002172503221521322,cosine,0.1,1,100
62,0.1511070449789986,8,1,8,0.05,True,0.0002765518315576178,4.698941836933408e-06,cosine,0.1,1,100
59,0.1512011896306649,8,1,8,0.05,True,0.0003225954065135573,0.00014735531861580106,cosine,0.1,1,100
81,0.15321703800931574,8,1,8,0.05,True,0.0003360169838987317,0.00020762991243445766,cosine,0.1,1,100
82,0.15352873649448157,8,1,8,0.05,True,0.0002730112718433178,0.00017407037987539751,cosine,0.1,1,100
74,0.1536232807021588,8,1,8,0.05,True,0.00035170433372547043,4.6907471655624135e-06,cosine,0.1,1,100
98,0.15422298080520705,32,1,32,0.1,False,0.00020173424148902313,0.0005150434351956286,cosine,0.0,4,100
48,0.15438467418774962,4,2,8,0.0,True,0.0001442982191085762,5.393667662561039e-05,linear,0.03,2,100
87,0.15530413305270485,32,1,32,0.1,False,0.00020698978482289746,0.0005707153195841514,cosine,0.0,4,100
61,0.15548377618659287,8,1,8,0.05,True,0.0002566885354805091,0.0001887018707328132,cosine,0.1,1,100
102,0.15619096691254528,32,1,32,0.1,False,0.0002240741010337883,0.0005384333599885603,cosine,0.0,1,100
83,0.15628980435431003,8,1,8,0.05,True,0.0003025575790566395,0.00019145444731757835,cosine,0.1,1,100
21,0.1573438085336238,8,2,16,0.05,True,0.00032291316264561017,2.318177611290351e-06,cosine,0.0,1,100
86,0.1576620463002473,32,1,32,0.1,False,0.00020982324226851616,0.0005241773442665997,cosine,0.0,4,100
51,0.15778800064697862,4,2,8,0.0,True,0.00012875965589360087,4.987092096338734e-05,linear,0.03,2,100
80,0.15790219105780123,8,1,8,0.05,True,0.0002896672991644387,0.0001815079687471174,cosine,0.1,1,100
22,0.15867256491445006,8,1,8,0.1,True,0.00022132828159895996,2.5331450012450242e-05,cosine,0.0,2,75
67,0.15985260116867722,8,1,8,0.05,True,0.0002792008346012745,0.00017927463667413135,cosine,0.1,1,100
40,0.15986559929326177,4,2,8,0.0,True,0.00013917463799895916,6.585103078776268e-05,linear,0.03,2,100
42,0.16010182809084653,4,2,8,0.0,True,0.00013797835129752728,0.0067442987601742405,linear,0.03,2,100
35,0.1604046568600461,4,2,8,0.0,True,0.0006622780217259406,6.646925743318432e-05,linear,0.03,2,100
39,0.16132928959093987,4,2,8,0.0,True,0.00015470152688443193,4.325180977713669e-05,linear,0.03,2,100
69,0.16211880348622798,8,1,8,0.05,True,0.0003137913796653028,0.00016049431111348644,cosine,0.1,1,100
71,0.1622784470836632,8,1,8,0.05,True,0.0003138643395471194,0.000236449773522836,cosine,0.1,1,100
33,0.1626579340454191,4,2,8,0.0,True,0.00012362332330094207,5.5842511217123495e-05,linear,0.03,2,100
44,0.16489314161241053,4,2,8,0.0,True,0.00011855236992522783,0.00674405889272239,linear,0.03,2,100
45,0.16627537021413447,4,2,8,0.0,True,0.00013409303163142695,0.006909377865415387,linear,0.03,2,75
72,0.1663521644519642,8,1,8,0.05,True,0.00030202198134205284,0.0002767929291539927,cosine,0.1,1,75
95,0.16646577128442006,32,1,32,0.1,False,0.0002142886915266779,0.00010456359181279153,cosine,0.0,4,75
19,0.16739779947325586,16,1,16,0.0,True,0.00019345343114003435,1.1827346017839088e-06,cosine,0.1,2,75
92,0.16792417065706103,32,1,32,0.1,False,0.00019669573820507328,0.00010291590182962884,cosine,0.0,4,75
96,0.1685622029006481,32,1,32,0.1,False,0.00021487640293077793,0.0004919607216837108,cosine,0.0,4,75
